nose_x,nose_y,nose_score,left_eye_x,left_eye_y,left_eye_score,right_eye_x,right_eye_y,right_eye_score,left_ear_x,left_ear_y,left_ear_score,right_ear_x,right_ear_y,right_ear_score,left_shoulder_x,left_shoulder_y,left_shoulder_score,right_shoulder_x,right_shoulder_y,right_shoulder_score,left_elbow_x,left_elbow_y,left_elbow_score,right_elbow_x,right_elbow_y,right_elbow_score,left_wrist_x,left_wrist_y,left_wrist_score,right_wrist_x,right_wrist_y,right_wrist_score,left_hip_x,left_hip_y,left_hip_score,right_hip_x,right_hip_y,right_hip_score,left_knee_x,left_knee_y,left_knee_score,right_knee_x,right_knee_y,right_knee_score,left_ankle_x,left_ankle_y,left_ankle_score,right_ankle_x,right_ankle_y,right_ankle_score,class_no
0.5022058,0.47219306,0.67156535,0.4121808,0.51337016,0.67903197,0.4501482,0.40295407,0.53770334,0.462953,0.6064007,0.5550425,0.5420347,0.34893903,0.5426592,0.86112785,0.8178864,0.6894867,0.9243476,0.24102283,0.4984732,0.9928737,0.9290816,0.085963,0.9915788,0.15101787,0.10747653,0.97978544,0.9258077,0.06871495,0.40912458,0.31657812,0.08611028,1.0013086,0.8854984,0.09596484,1.1806164,0.34760925,0.045560382,0.98721474,0.9275358,0.08824526,0.9622069,0.21909231,0.11050624,0.5615428,0.54440266,0.03861036,0.5101412,0.583562,0.0125238625,0
0.502021,0.471304,0.6441399,0.41174254,0.51261896,0.70411855,0.4513059,0.40309107,0.6841314,0.46332875,0.6057282,0.5360366,0.5438368,0.3499688,0.5006684,0.86706024,0.8176366,0.7027039,0.9237209,0.2409107,0.5058522,0.8609074,0.8216046,0.0216769,0.99271226,0.15379778,0.089905165,0.85737103,0.80209804,0.03131904,0.4103996,0.31494775,0.08431283,1.0050025,0.89855844,0.093928255,1.1814442,0.36268586,0.04351473,0.8804768,0.8286955,0.05724323,0.9626751,0.21892996,0.08711946,0.53584814,0.54317385,0.029374575,0.50774974,0.58474797,0.012199867,0
0.50197583,0.4682627,0.5217384,0.41226757,0.5124849,0.55268866,0.45251116,0.40083897,0.66383225,0.46231952,0.6055302,0.5083374,0.54117864,0.347741,0.533047,0.8662703,0.8175498,0.6315501,0.9264527,0.23661827,0.4475587,0.9952329,0.93558127,0.08267767,0.99246496,0.1524687,0.091417804,0.98252195,0.944536,0.058595985,0.40855947,0.31275237,0.07411297,1.0001836,0.91878194,0.10169666,1.1859525,0.34965774,0.033958666,0.9874142,0.9319543,0.08104279,0.96463245,0.2137849,0.0954027,0.53819674,0.5411349,0.03112128,0.529128,0.58358324,0.009199524,0
0.50346565,0.47152624,0.6740489,0.4130266,0.51552486,0.43713358,0.45310616,0.40248296,0.64963406,0.46285817,0.604677,0.4935211,0.5509921,0.34815037,0.5617076,0.86571676,0.8185852,0.6152082,0.9308383,0.23958455,0.4252414,0.9963712,0.93494105,0.092963874,0.99242306,0.15422466,0.08914287,0.9836281,0.94372576,0.07069875,0.4060013,0.31322804,0.09533215,0.9994038,0.91964066,0.106558084,1.1858338,0.34990406,0.03417893,0.9877951,0.93162054,0.08292967,0.9666708,0.21405222,0.104200125,0.5384174,0.5405732,0.033387717,0.5756803,0.56042653,0.0147969015,0
0.5012622,0.47146738,0.6276115,0.4129132,0.5152064,0.41256085,0.4499941,0.40289277,0.6600409,0.4661033,0.60644424,0.5397902,0.5432748,0.34744436,0.49190146,0.8644612,0.81654364,0.6464418,0.9263031,0.2376538,0.45750716,0.9958427,0.9352739,0.11175574,0.99199647,0.1518575,0.09930069,0.9837518,0.94439906,0.07975826,0.40893075,0.31354326,0.07841141,0.99845105,0.9198176,0.10799994,1.182149,0.3346676,0.041277688,0.98719436,0.9320948,0.09652503,0.9623008,0.21496786,0.1127423,0.5304906,0.5308781,0.027087549,0.57473,0.57342917,0.011911828,0
0.4997491,0.47022334,0.4673514,0.41388583,0.51089096,0.6836256,0.4524336,0.40195182,0.682116,0.4655817,0.60578805,0.53260076,0.5509544,0.35004488,0.56905484,0.86372757,0.82384974,0.62512344,0.9278292,0.23957762,0.4727064,0.9957599,0.9354119,0.091975786,0.9931424,0.15404412,0.078886166,0.98458296,0.94650525,0.06734901,0.40697882,0.31052718,0.08470246,0.9986284,0.9209032,0.11244725,1.1840509,0.34829912,0.03411861,0.98915976,0.9805508,0.093842015,0.9644982,0.21766095,0.09273958,0.5366698,0.54248923,0.029974753,0.5509026,0.5631366,0.012923429,0
0.5035214,0.47107592,0.65530527,0.4136221,0.5113841,0.67353916,0.4530861,0.40179282,0.45913875,0.4620439,0.60574734,0.5281138,0.55203134,0.34931087,0.55774224,0.86475354,0.81773245,0.66214323,0.92785317,0.23678687,0.46815777,0.99690914,0.93524396,0.084176674,0.99164724,0.154791,0.09176967,0.984018,0.9436836,0.060856838,0.40897563,0.3108273,0.08930193,1.0009747,0.88819677,0.09166012,1.1842064,0.34941715,0.037199087,0.98869056,0.9306963,0.07487629,0.96315885,0.2129561,0.10574207,0.53897,0.5391537,0.031909797,0.50745153,0.5746546,0.013087212,0
0.49844334,0.4717498,0.55666405,0.4098544,0.51208794,0.68444717,0.44770363,0.40250903,0.6761574,0.46710745,0.6067245,0.54866457,0.5505447,0.3487888,0.55528593,0.8649278,0.8193609,0.6765803,0.9260656,0.240764,0.46263137,0.9970098,0.9371368,0.09747934,0.9920984,0.15210558,0.09725379,0.9854629,0.9539397,0.0729603,0.407977,0.3139963,0.07536332,1.000817,0.9032307,0.10507733,1.1804527,0.34819713,0.0476696,0.98881227,0.9320466,0.081290856,0.96467376,0.21782005,0.09916035,0.5333142,0.5430665,0.027597416,0.49225745,0.5748685,0.017523656,0
0.49331903,0.46445447,0.6862787,0.41083932,0.5088018,0.70206255,0.4466938,0.39912224,0.68258387,0.46403408,0.6060946,0.5260625,0.54286915,0.34919843,0.49707726,0.8643699,0.817749,0.68910664,0.93084925,0.23562685,0.43840748,0.99595207,0.9354063,0.08946037,0.9915724,0.15478292,0.072595075,0.9827614,0.9417315,0.066000156,0.40786275,0.31322944,0.07319286,1.0022155,0.9015462,0.09778403,1.1824659,0.34970567,0.042581502,0.98982453,0.9326347,0.073443435,0.965139,0.21356905,0.10860895,0.53464025,0.5266363,0.026705863,0.50414973,0.5771348,0.013315784,0
0.49557838,0.46477124,0.6416308,0.4129375,0.5089959,0.7011063,0.44833943,0.3989593,0.7143037,0.4650068,0.6058846,0.49887043,0.54419404,0.349501,0.46615347,0.865614,0.8188594,0.6708273,0.9264801,0.24467465,0.4543872,0.9983881,0.93836385,0.07668925,0.99298906,0.15126789,0.10204666,0.9868483,0.9550518,0.0617421,0.40699062,0.31461257,0.08012543,1.002116,0.8881464,0.09295658,1.1836642,0.3492379,0.040134378,0.9919047,0.93574303,0.076943055,0.9676297,0.221535,0.10046392,0.56200385,0.54399425,0.032589894,0.5732884,0.5527451,0.013131945,0
