nose_x,nose_y,nose_score,left_eye_x,left_eye_y,left_eye_score,right_eye_x,right_eye_y,right_eye_score,left_ear_x,left_ear_y,left_ear_score,right_ear_x,right_ear_y,right_ear_score,left_shoulder_x,left_shoulder_y,left_shoulder_score,right_shoulder_x,right_shoulder_y,right_shoulder_score,left_elbow_x,left_elbow_y,left_elbow_score,right_elbow_x,right_elbow_y,right_elbow_score,left_wrist_x,left_wrist_y,left_wrist_score,right_wrist_x,right_wrist_y,right_wrist_score,left_hip_x,left_hip_y,left_hip_score,right_hip_x,right_hip_y,right_hip_score,left_knee_x,left_knee_y,left_knee_score,right_knee_x,right_knee_y,right_knee_score,left_ankle_x,left_ankle_y,left_ankle_score,right_ankle_x,right_ankle_y,right_ankle_score,class_no
0.5599063,0.5284913,0.55432355,0.47910395,0.58518314,0.73362327,0.4784507,0.47603995,0.7400085,0.49862197,0.6433207,0.7081112,0.4987459,0.40412194,0.58331186,0.87381834,0.79994154,0.62919194,0.9067836,0.23915546,0.58855486,0.9798863,0.86699617,0.02319204,0.99096847,0.15404306,0.08197695,0.84599644,0.68258864,0.014946447,0.6074853,0.23287933,0.0040374408,1.2311393,0.6177514,0.008275835,1.1283439,0.3045428,0.037684977,0.8836453,0.8132425,0.025019761,0.95783406,0.2084139,0.1606882,0.77850056,0.6104974,0.045575634,0.7492068,0.5595047,0.030438058,0
0.55961394,0.52803165,0.57486224,0.48017916,0.5840624,0.7349985,0.48034677,0.4764234,0.7835198,0.5022106,0.6415569,0.752917,0.5016163,0.4039463,0.53077245,0.8631565,0.7977396,0.61843807,0.9063304,0.23476642,0.55798715,0.9865106,0.87929076,0.03178735,0.98247457,0.16022468,0.101722,0.8702035,0.68441087,0.016159125,0.6104823,0.2175205,0.0050553214,1.2300411,0.61645615,0.009563825,1.1215965,0.2909676,0.04340435,0.8864751,0.81424785,0.03288903,0.9542796,0.206518,0.20897484,0.7562981,0.6071954,0.039566077,0.74785525,0.5585469,0.030505072,0
0.5535035,0.5262812,0.7097227,0.47826776,0.58272594,0.69547194,0.47694543,0.47677583,0.7736841,0.5068701,0.64115524,0.758369,0.5049813,0.40754142,0.57837296,0.8663411,0.79812604,0.6546862,0.9189134,0.23824282,0.52413255,0.98798156,0.87968516,0.036047157,0.9942357,0.15302496,0.09530508,0.8442115,0.6943687,0.012861338,0.6143399,0.23695043,0.0038489706,1.0076301,0.8578439,0.07402794,1.1089449,0.30109408,0.02966324,0.87353873,0.8041421,0.030079512,0.9600268,0.2157161,0.13647875,0.766684,0.60599726,0.038476307,0.77073956,0.5599102,0.032153707,0
0.5554878,0.5258598,0.6880638,0.48068425,0.58253247,0.69440246,0.47849178,0.4771234,0.7258057,0.5084581,0.6410417,0.7471456,0.50473636,0.4070508,0.56725454,0.8670675,0.7966107,0.6061861,0.9061244,0.24396706,0.5606865,0.9831603,0.8694506,0.025466343,0.99158883,0.1497418,0.09875081,0.8457978,0.68015087,0.01326179,0.5919099,0.21526724,0.0063159745,1.0082084,0.8571607,0.07407015,1.1017915,0.28951812,0.04073398,0.87621146,0.80227166,0.026063439,0.94457644,0.22057323,0.19466944,0.7604726,0.60756373,0.03700632,0.75175285,0.5585513,0.031417288,0
0.55515903,0.52695096,0.6543045,0.48046848,0.58276397,0.69960827,0.4793261,0.4769593,0.6969561,0.5080088,0.6405327,0.73107785,0.50615215,0.40685973,0.5366641,0.8635351,0.79723,0.6421971,0.906115,0.23971198,0.54439837,0.9871864,0.8777775,0.033621904,0.98495626,0.15921912,0.11762671,0.84347194,0.6795673,0.013042322,0.9879906,0.14204045,0.036577262,1.0059568,0.85770017,0.07366939,1.0988674,0.2901622,0.043337677,0.8767877,0.8036829,0.02576547,0.9554241,0.21559247,0.21213198,0.76316565,0.607646,0.034629826,0.7666101,0.56078887,0.029601227,0
0.5581705,0.5262724,0.6366095,0.48244986,0.5823679,0.767999,0.48074543,0.4761234,0.8002096,0.50889856,0.6412303,0.76139903,0.5065162,0.40678668,0.55714756,0.8684775,0.79910856,0.6641048,0.90764046,0.24538267,0.5336397,0.9823902,0.86867887,0.029303832,0.9922916,0.15108612,0.1055214,0.84600586,0.6830525,0.014310303,0.5974799,0.21114358,0.0052069738,1.0063747,0.8579102,0.07619054,1.104227,0.29111165,0.037375417,0.87346125,0.8025757,0.029650498,0.9557995,0.21735026,0.16952488,0.7837661,0.609417,0.04415679,0.7524933,0.55911916,0.030086959,0
0.5597485,0.52668285,0.6024935,0.48489618,0.58297724,0.798122,0.4820048,0.4778074,0.7966952,0.51139873,0.6410316,0.75226915,0.5065639,0.40723112,0.5609568,0.865381,0.7960269,0.63568914,0.90773654,0.23798664,0.56749964,0.992809,0.8885859,0.04614243,0.99154454,0.15065303,0.09419717,0.86479235,0.7111396,0.015343917,0.9939387,0.11690311,0.037231922,1.225543,0.63088053,0.01581747,1.1429284,0.30825126,0.04840887,0.8768539,0.8014586,0.029274512,0.9454789,0.21769764,0.18876965,0.8124619,0.5852121,0.06028946,0.83881134,0.5945685,0.018291619,0
0.5618198,0.52605253,0.5392428,0.4864063,0.58262646,0.8054166,0.48481262,0.47686127,0.82811147,0.51147205,0.64361656,0.75750846,0.5075509,0.40692607,0.517836,0.8659473,0.79812217,0.59063524,0.90781385,0.23963171,0.5425286,0.98842144,0.8790105,0.035362177,0.9858413,0.15872404,0.121202745,0.88895416,0.69756335,0.013617901,0.98835737,0.14350647,0.041507997,1.2264258,0.631615,0.012627404,1.1432092,0.32286093,0.04781049,0.87780976,0.80284196,0.025618412,0.9568188,0.21536265,0.19445206,0.8135648,0.5995682,0.049527686,0.81110007,0.5908574,0.018185887,0
0.56347865,0.52604747,0.54126334,0.4892737,0.58282244,0.83564025,0.486191,0.4763598,0.8598966,0.51262236,0.6423736,0.7653247,0.5077196,0.40678185,0.5285624,0.8642861,0.7954995,0.6339487,0.9079332,0.23809168,0.53065616,0.9888417,0.87918985,0.038680535,0.9845874,0.16024306,0.11093401,0.8636567,0.6971978,0.013737874,0.9887602,0.14371297,0.035825714,1.2287575,0.63310397,0.0093429275,1.1483968,0.3229339,0.039658766,0.8777769,0.80203104,0.025813092,0.9470136,0.2133816,0.1700989,0.82011527,0.61584663,0.04318439,0.8392644,0.62690765,0.0106401555,0
0.56527805,0.5265868,0.62024593,0.48845398,0.58423316,0.8303463,0.48651898,0.4766453,0.8466424,0.5149569,0.64389724,0.7502309,0.5102698,0.40771288,0.6656063,0.8649821,0.79694873,0.63466686,0.9022239,0.24592163,0.5571303,0.98818254,0.8783958,0.04090578,0.9848559,0.15812138,0.12127885,0.8903377,0.6969772,0.01652733,0.9870561,0.1422288,0.042140212,1.2266005,0.6303247,0.016207578,1.1440163,0.32218412,0.049321804,0.8777489,0.8043096,0.029419882,0.9546411,0.21764366,0.19230632,0.7918257,0.59744865,0.050748326,0.8128424,0.5912778,0.018698659,0
