nose_x,nose_y,nose_score,left_eye_x,left_eye_y,left_eye_score,right_eye_x,right_eye_y,right_eye_score,left_ear_x,left_ear_y,left_ear_score,right_ear_x,right_ear_y,right_ear_score,left_shoulder_x,left_shoulder_y,left_shoulder_score,right_shoulder_x,right_shoulder_y,right_shoulder_score,left_elbow_x,left_elbow_y,left_elbow_score,right_elbow_x,right_elbow_y,right_elbow_score,left_wrist_x,left_wrist_y,left_wrist_score,right_wrist_x,right_wrist_y,right_wrist_score,left_hip_x,left_hip_y,left_hip_score,right_hip_x,right_hip_y,right_hip_score,left_knee_x,left_knee_y,left_knee_score,right_knee_x,right_knee_y,right_knee_score,left_ankle_x,left_ankle_y,left_ankle_score,right_ankle_x,right_ankle_y,right_ankle_score,class_no
0.5211049,0.49929437,0.5487395,0.4349148,0.55864054,0.6836481,0.43689397,0.43637267,0.67429763,0.48147097,0.62117517,0.7515532,0.48577678,0.34913105,0.64866334,0.8767709,0.7884468,0.50847006,0.9175627,0.18829611,0.49362007,0.9917533,0.9101808,0.07118838,0.99264693,0.101826206,0.07475048,0.82898635,0.80983853,0.08354703,0.58019686,0.14809377,0.0057373685,1.0098447,0.89927775,0.07084288,1.0347139,0.22663066,0.027030224,0.86452836,0.81439126,0.085304014,0.5217516,0.41409433,0.015363221,0.66889054,0.5644357,0.045118608,0.48118916,0.5572534,0.0378904,1
0.52359444,0.4968083,0.60454375,0.4362087,0.5570142,0.70146847,0.4372673,0.4358369,0.67176104,0.48242918,0.61988884,0.7525489,0.48591706,0.34845543,0.6548073,0.8726345,0.78950465,0.5423641,0.92125267,0.1870991,0.510058,0.9906613,0.9113482,0.067645095,0.9912603,0.10266998,0.07271708,0.8318286,0.8090319,0.069453724,0.47780564,0.352722,0.039701592,1.0081669,0.8964997,0.07390938,1.0146906,0.19167931,0.046896487,0.86791354,0.81424934,0.067797564,0.4051695,0.4067896,0.010329332,0.46875528,0.613902,0.023526503,0.48109058,0.5577437,0.043006137,1
0.5278134,0.5416276,0.6450117,0.4363539,0.601992,0.70475423,0.42379668,0.48007756,0.83132094,0.47469255,0.6407554,0.69098777,0.45420948,0.36394235,0.74236524,0.88222903,0.797487,0.38495916,0.9238796,0.17575626,0.4341389,0.8375161,0.81108606,0.06141459,0.9927392,0.09047232,0.093092576,0.8139913,0.8173436,0.10836714,0.42930624,0.37145975,0.035499405,1.005731,0.8968043,0.0705414,1.0303178,0.23407619,0.035235774,0.8448126,0.8165446,0.15881957,0.4902986,0.41827217,0.048305042,0.8169281,0.81190336,0.103943594,0.8175462,0.8199528,0.13207644,1
0.5304053,0.54167026,0.67197573,0.43755212,0.6026591,0.74831057,0.42566022,0.48170614,0.8511685,0.47770455,0.64174587,0.6519109,0.4541789,0.36710843,0.69645554,0.88174516,0.7976454,0.42318302,0.9209807,0.1815903,0.46782315,0.99187845,0.91350746,0.083285846,0.58840495,0.11066709,0.009399496,0.8172951,0.81672263,0.10796142,0.44511828,0.1553681,0.0050208042,1.0059209,0.878818,0.06624175,1.0114994,0.19668871,0.064521305,0.8520868,0.81702936,0.18323526,0.40865397,0.4053897,0.0774877,0.8180811,0.81107616,0.09892231,0.822192,0.8207505,0.12355624,1
0.5282581,0.5428525,0.6647645,0.43759215,0.6037589,0.7283398,0.4231628,0.48194605,0.8247818,0.47796643,0.64262086,0.6520107,0.45679513,0.36739373,0.67701626,0.87855744,0.7886811,0.38683453,0.92133945,0.18597089,0.5187505,0.9914403,0.9188537,0.09343505,0.5611022,0.098693505,0.008635062,0.82525986,0.8189996,0.102876425,0.44702816,0.13820213,0.004437429,1.0021939,0.8977014,0.07822695,1.028575,0.22055665,0.046585064,0.84683305,0.8152125,0.14915653,0.4641998,0.41628113,0.0569437,0.8257076,0.81485385,0.09956406,0.8223829,0.81941426,0.12894414,1
0.5268515,0.5446519,0.6380131,0.4376912,0.6046734,0.7346779,0.42275605,0.4841563,0.7822673,0.47638628,0.64377165,0.6235362,0.45111477,0.36869806,0.6984677,0.8839373,0.79652774,0.3714998,0.92475456,0.18126523,0.4440783,0.839896,0.80925363,0.059631754,0.56140345,0.103625834,0.0077774962,0.81542796,0.81616974,0.11894571,0.42182007,0.37730023,0.035745334,1.0049552,0.8832477,0.07439133,1.0105692,0.1967167,0.07107833,0.84462196,0.8148168,0.17420188,0.4672638,0.41601902,0.05712481,0.8241033,0.81312263,0.1334061,0.81836456,0.8188903,0.1559738,1
0.5272682,0.54829186,0.5819637,0.43753657,0.60693395,0.7103006,0.42158487,0.48495,0.7451828,0.48062146,0.6450491,0.6843352,0.45048168,0.37144983,0.42603323,0.87817603,0.785845,0.4203354,0.918407,0.18385525,0.47179848,0.9918863,0.9167217,0.08049952,0.9949283,0.08904087,0.08215274,0.81481856,0.8107765,0.10561,0.4252206,0.378196,0.030973086,1.0044503,0.89434636,0.07033144,1.0302147,0.23419563,0.036704343,0.84781796,0.814909,0.1668942,0.42380702,0.41466093,0.067047276,0.81578994,0.807944,0.107179396,0.8198785,0.81902224,0.1343075,1
0.52794075,0.54666233,0.5949093,0.438356,0.60753417,0.70880646,0.42183152,0.48532522,0.7194247,0.48044625,0.64737177,0.676824,0.45519304,0.36942056,0.63245857,0.882766,0.7962105,0.3938969,0.9189913,0.18654594,0.5286102,0.9945898,0.9165928,0.082624175,0.9961657,0.08769919,0.07349084,0.8160672,0.81691116,0.11918857,0.4151552,0.37658092,0.033546362,1.0045072,0.88230854,0.06782301,1.0276338,0.2202246,0.0505413,0.8439262,0.81529474,0.18243991,0.4280316,0.4059954,0.06768791,0.8237594,0.813871,0.13754034,0.8177154,0.8189364,0.16315441,1
0.5245278,0.5470008,0.5870144,0.43844378,0.60771537,0.72470003,0.418869,0.48592198,0.7061547,0.4853327,0.6465185,0.70678455,0.449572,0.37249598,0.48627707,0.8777835,0.790058,0.407886,0.92295384,0.18136424,0.4574714,0.8390879,0.8101012,0.06795037,0.9950867,0.08968703,0.07495384,0.8257244,0.81730324,0.11369318,0.42284295,0.38173455,0.033270642,1.0058488,0.86751646,0.060396276,1.03082,0.2205572,0.040717836,0.8459895,0.81500137,0.17963715,0.42718932,0.41505745,0.07746071,0.8249669,0.81373954,0.11645097,0.82250494,0.8191723,0.13543636,1
0.52599245,0.54885864,0.6129438,0.43868017,0.6117134,0.7053353,0.419273,0.48860338,0.7448136,0.48705372,0.64522195,0.6939997,0.44745913,0.37281054,0.5136542,0.88099957,0.79136175,0.42368972,0.9224884,0.18489106,0.44711527,0.99341184,0.9165658,0.08323618,0.99651414,0.088110395,0.074033216,0.815322,0.81062317,0.10182673,0.42106834,0.3820959,0.031515982,1.0036793,0.8813477,0.06926647,1.0301055,0.22300623,0.035206586,0.8461743,0.8144223,0.17209896,0.42714083,0.41440642,0.07889883,0.8245469,0.81360024,0.116873376,0.8202036,0.81896687,0.14087382,1
