nose_x,nose_y,nose_score,left_eye_x,left_eye_y,left_eye_score,right_eye_x,right_eye_y,right_eye_score,left_ear_x,left_ear_y,left_ear_score,right_ear_x,right_ear_y,right_ear_score,left_shoulder_x,left_shoulder_y,left_shoulder_score,right_shoulder_x,right_shoulder_y,right_shoulder_score,left_elbow_x,left_elbow_y,left_elbow_score,right_elbow_x,right_elbow_y,right_elbow_score,left_wrist_x,left_wrist_y,left_wrist_score,right_wrist_x,right_wrist_y,right_wrist_score,left_hip_x,left_hip_y,left_hip_score,right_hip_x,right_hip_y,right_hip_score,left_knee_x,left_knee_y,left_knee_score,right_knee_x,right_knee_y,right_knee_score,left_ankle_x,left_ankle_y,left_ankle_score,right_ankle_x,right_ankle_y,right_ankle_score,class_no
0.5307627,0.49873072,0.6230665,0.4346545,0.5664516,0.6819865,0.43369046,0.43398592,0.68052894,0.46638703,0.62304825,0.7614038,0.45760724,0.34207585,0.60855037,0.86885875,0.7981551,0.5923665,0.9096202,0.17522323,0.4296885,0.96347374,0.810351,0.013592089,0.98280835,0.08487045,0.12267373,0.96383405,0.671073,0.028592255,0.2607923,0.06532708,0.037919503,1.0070906,0.89746654,0.07683349,1.0071336,0.17476647,0.07419622,0.98086804,0.9808508,0.05765764,0.4449655,0.36376035,0.020670742,0.6958453,0.5496723,0.07298049,0.48693416,0.55118805,0.04193874,1
0.5325365,0.5006834,0.5489764,0.4341831,0.56729096,0.6777541,0.43535027,0.43543568,0.67669827,0.46182382,0.621709,0.71781224,0.45503846,0.34190974,0.6266213,0.86150354,0.79382026,0.54477805,0.9056632,0.18426064,0.459613,0.9919873,0.92382646,0.058637924,0.98304504,0.083219655,0.12805901,0.96112627,0.6586152,0.027927805,0.26999775,0.06786111,0.02763444,1.0093035,0.89744526,0.068038635,1.0062605,0.1877013,0.06988808,0.8720301,0.81140286,0.040083487,0.4436905,0.36191258,0.025898721,0.6957875,0.5469915,0.076343216,0.4642783,0.5560715,0.026727106,1
0.54640836,0.50541174,0.6033084,0.44259444,0.5717435,0.8259687,0.4367068,0.44097632,0.5754946,0.46461105,0.62848264,0.7796272,0.4564409,0.3412409,0.6126081,0.87029546,0.80202746,0.5426725,0.9160118,0.1703632,0.45842895,0.99321765,0.9359202,0.060030114,0.9856105,0.082916856,0.10700645,0.95840836,0.6555414,0.024964407,0.26803097,0.05748345,0.028690066,1.008075,0.9128339,0.08629133,1.0064851,0.1721181,0.08455659,0.9766032,0.9204586,0.07020602,0.44549343,0.37926745,0.030312432,0.6454281,0.52918684,0.0619579,0.48606625,0.56051844,0.028449321,1
0.5448399,0.50502455,0.6178439,0.44338647,0.57108396,0.8317319,0.43669876,0.44195527,0.7038069,0.46558645,0.6307429,0.787755,0.45238653,0.34469151,0.65504545,0.870512,0.799114,0.5340733,0.91938776,0.16745822,0.4898754,0.99208164,0.9218404,0.050188933,0.9851091,0.08381414,0.08903775,0.7534573,0.5128632,0.002951222,0.06835222,0.53946733,0.08746739,1.0128552,0.9082072,0.06984904,1.007301,0.17185909,0.08078988,0.97866577,0.91422164,0.053036265,0.42655158,0.37684098,0.030311048,0.6451967,0.54116184,0.062775336,0.48775664,0.560327,0.027149752,1
0.54688436,0.50574887,0.6325529,0.43933514,0.5735013,0.7921265,0.43793884,0.4440557,0.7267276,0.46155038,0.63390934,0.7518761,0.45301554,0.3417444,0.6595245,0.87185353,0.7984665,0.54762477,0.91812825,0.16960573,0.45552996,0.99205536,0.92294425,0.049259286,0.9843471,0.08152386,0.12758835,0.7564238,0.5137374,0.0027445978,0.45599616,0.07608099,0.005556526,1.0116727,0.910174,0.077267684,0.992423,0.17279986,0.07361064,0.97905606,0.9150945,0.06508873,0.9811609,0.10428798,0.24558063,0.70149755,0.54097086,0.06622773,0.07965652,0.5356056,0.04476553,1
0.54629326,0.5052409,0.6259456,0.4429185,0.5719559,0.7611655,0.43819073,0.44303128,0.7160528,0.46161568,0.6331745,0.7300076,0.45247582,0.3403868,0.68336123,0.86616606,0.79754585,0.5042342,0.9109581,0.17421041,0.42982543,0.94148844,0.80620337,0.017968489,0.9838416,0.084831774,0.12894468,0.9737048,0.93703705,0.054134067,0.2606963,0.05755171,0.03589302,1.0066824,0.90062505,0.077139586,1.0055397,0.17385128,0.08153243,0.9750161,0.91992956,0.05905487,0.9712346,0.11810212,0.24425347,0.64719963,0.54058886,0.061718095,0.078841306,0.53578585,0.04581503,1
0.5445437,0.50594646,0.59663534,0.43810698,0.57257015,0.6771872,0.43394268,0.44360316,0.63414246,0.46182474,0.63498974,0.6725412,0.44606242,0.33769178,0.75545985,0.87447506,0.80080533,0.49009752,0.9203119,0.16926228,0.4804088,0.99165344,0.9222926,0.051153384,0.9864998,0.08446613,0.09333314,0.949415,0.67116016,0.024013,0.074343406,0.53801686,0.083924025,1.0095297,0.89714485,0.0791694,1.0085524,0.15984297,0.089636534,0.977639,0.91572714,0.07601558,0.44399694,0.37725845,0.02990011,0.6977199,0.54166156,0.05772552,0.07868824,0.5357959,0.05629456,1
0.54724216,0.506726,0.62547594,0.4376627,0.57372665,0.6883824,0.43363026,0.44731003,0.6558949,0.45726892,0.6322249,0.61656517,0.44237974,0.3416584,0.6017793,0.8772157,0.7995989,0.4423856,0.9164323,0.16906255,0.44881657,0.9933266,0.920414,0.049036246,0.98359936,0.082409136,0.11421999,0.75567704,0.5144119,0.0030409733,0.07744938,0.5395491,0.09698759,1.009102,0.91239834,0.080380075,1.0043586,0.17113073,0.08865721,0.9801243,0.9135839,0.058824085,0.98112196,0.104024954,0.2621781,0.7408645,0.6003884,0.055244535,0.08177409,0.53649944,0.06233053,1
0.54651666,0.50593406,0.6159285,0.4412075,0.5720626,0.71483356,0.43773654,0.4446926,0.7068132,0.45741007,0.632125,0.5926799,0.4488022,0.3387574,0.72989404,0.868453,0.7990735,0.5307815,0.9180772,0.17074059,0.45892784,0.94426614,0.8076202,0.017314546,0.98332494,0.08159165,0.13483022,0.9572115,0.656769,0.026082672,0.26888904,0.05746879,0.03462671,1.0056871,0.9143823,0.08092264,1.0051409,0.1731597,0.08614179,0.9747279,0.9180493,0.0640099,0.42990848,0.3595045,0.024653496,0.646157,0.541836,0.05867515,0.07432791,0.5342735,0.034377698,1
0.5465984,0.5049138,0.6005373,0.44057965,0.5718311,0.74308157,0.43577805,0.44276232,0.67190236,0.4630121,0.6356412,0.6779168,0.44458377,0.34120524,0.69096535,0.87588954,0.8018007,0.46659067,0.9205138,0.16916749,0.44533187,0.993593,0.9192738,0.05755968,0.98409647,0.08141624,0.11444475,0.85375124,0.8116283,0.03661091,0.07387362,0.53722185,0.08836195,1.0080374,0.8823734,0.079936266,1.0064213,0.16873497,0.08720352,0.97948116,0.9126761,0.084535785,0.98437196,0.09666365,0.24144468,0.6719546,0.512999,0.06853956,0.078354515,0.53460926,0.04524614,1
