nose_x,nose_y,nose_score,left_eye_x,left_eye_y,left_eye_score,right_eye_x,right_eye_y,right_eye_score,left_ear_x,left_ear_y,left_ear_score,right_ear_x,right_ear_y,right_ear_score,left_shoulder_x,left_shoulder_y,left_shoulder_score,right_shoulder_x,right_shoulder_y,right_shoulder_score,left_elbow_x,left_elbow_y,left_elbow_score,right_elbow_x,right_elbow_y,right_elbow_score,left_wrist_x,left_wrist_y,left_wrist_score,right_wrist_x,right_wrist_y,right_wrist_score,left_hip_x,left_hip_y,left_hip_score,right_hip_x,right_hip_y,right_hip_score,left_knee_x,left_knee_y,left_knee_score,right_knee_x,right_knee_y,right_knee_score,left_ankle_x,left_ankle_y,left_ankle_score,right_ankle_x,right_ankle_y,right_ankle_score,class_no
0.51457256,0.5129214,0.646041,0.43777987,0.5703038,0.7625702,0.44267246,0.45563367,0.789923,0.48940197,0.6343779,0.8245717,0.5037244,0.38022733,0.6440416,0.8842183,0.8085575,0.6131738,0.92554855,0.22300242,0.5917905,0.9945379,0.908525,0.098272555,0.9844413,0.14216965,0.08230727,0.81590086,0.7083013,0.015311846,0.45642117,0.38027692,0.04414594,1.0061246,0.8857561,0.08928382,1.1642536,0.29779512,0.040956996,0.98936003,0.91071045,0.079217695,0.61910987,0.45234814,0.013391602,0.6786628,0.6032205,0.02825346,0.6949668,0.5786173,0.010705533,0
0.5143726,0.51174706,0.68834126,0.43796834,0.5704079,0.7775284,0.44445238,0.45498636,0.81313056,0.49104798,0.6348691,0.81176955,0.50786257,0.3804842,0.56395143,0.88238114,0.80817336,0.58564603,0.9227388,0.22635232,0.59588385,0.9940107,0.9101604,0.08822025,0.98514676,0.13829677,0.09917019,0.8330843,0.70983183,0.0198474,0.60367113,0.18765755,0.0061164703,1.0043447,0.88630986,0.08561535,1.0787531,0.29057673,0.021567577,0.9873128,0.9110201,0.07813255,0.9613495,0.20110981,0.16757911,0.65270895,0.60319835,0.026404066,0.67261195,0.5783433,0.011290054,0
0.5495539,0.5458831,0.6068834,0.43752217,0.6109255,0.6162356,0.44745946,0.47906455,0.8189397,0.46568248,0.676252,0.7281223,0.48804033,0.38297087,0.6981158,0.87857795,0.8210839,0.46910495,0.92246765,0.21819381,0.5484995,0.99193144,0.94137555,0.072968155,0.9923323,0.115489654,0.081607096,0.8601733,0.71590704,0.019318368,0.6285415,0.19619174,0.004115216,1.0072588,0.898231,0.07695279,1.108329,0.2983705,0.017667025,0.9921744,0.95567256,0.07262611,0.9603806,0.20047636,0.16364142,0.7009299,0.58546305,0.068328686,0.5895694,0.6158533,0.013509189,0
0.54739875,0.54813254,0.5398064,0.43587217,0.6102584,0.5983106,0.44471154,0.4791441,0.779944,0.4640664,0.675162,0.7199164,0.48642984,0.3827157,0.7113041,0.88459945,0.8224856,0.49602723,0.92187315,0.21588598,0.5322528,0.9906244,0.9429276,0.07612535,0.99290085,0.11338701,0.11685234,0.8644174,0.7143638,0.022299938,0.9891555,0.10777388,0.03952179,1.0054098,0.8689457,0.07158999,1.1009629,0.30076188,0.027168801,0.9902902,0.9592709,0.069082685,0.957516,0.20764193,0.16514531,0.702167,0.5833353,0.07122692,0.6146454,0.6153616,0.013748441,0
0.5456404,0.5472852,0.5740674,0.43696675,0.61005694,0.61970717,0.44296825,0.47789493,0.77025527,0.46449575,0.67567235,0.74851555,0.4807169,0.37945175,0.6536351,0.8938827,0.8316827,0.46737295,0.92944664,0.21512029,0.51371604,0.9946123,0.9372714,0.064000055,0.99274045,0.12054257,0.07480426,0.8450245,0.698431,0.017530618,0.62905073,0.20399266,0.0035240964,1.0044677,0.8860346,0.086787306,1.1632508,0.30785078,0.04065856,0.99267644,0.95434636,0.08863737,0.9590704,0.19814177,0.16675378,0.7012923,0.60223895,0.06956319,0.6634038,0.6048612,0.015401735,0
0.5486777,0.5474654,0.5428717,0.43876335,0.6104477,0.6327773,0.4468477,0.47831556,0.83597165,0.46279383,0.675581,0.7438643,0.48557174,0.38146907,0.7090167,0.8826925,0.82479864,0.5091763,0.92545897,0.21670187,0.4944069,0.99245507,0.9433337,0.06703213,0.99119467,0.12023706,0.09185176,0.84317297,0.71254426,0.021880731,0.44565687,0.3825787,0.025281332,1.0052384,0.88455766,0.0775479,1.1079395,0.31256446,0.01910813,0.99165744,0.9575004,0.07781511,0.9607463,0.19722655,0.17128845,0.7046645,0.6006702,0.063564815,0.63800985,0.6025423,0.01788228,0
0.54791665,0.5466257,0.5650715,0.4398668,0.6074136,0.64263207,0.44730362,0.47750193,0.8556338,0.46170047,0.6764049,0.731295,0.48868215,0.38343546,0.7149808,0.88544965,0.8226609,0.5096828,0.9266184,0.21881954,0.48709354,0.9917874,0.9338689,0.05344034,0.9925608,0.11571909,0.08936546,0.86551625,0.7137297,0.018877774,0.43935993,0.38106388,0.026012426,1.0076042,0.8695089,0.07108707,1.1058462,0.31463,0.019435659,0.99188614,0.9570344,0.07076771,0.9601624,0.20891038,0.14737637,0.7015283,0.58411896,0.06537219,0.61431926,0.61495113,0.012275062,0
0.547141,0.54624444,0.60187036,0.43881616,0.60890305,0.6839729,0.44824734,0.47790346,0.86025554,0.46217003,0.67403436,0.75773567,0.486199,0.3826678,0.7022105,0.8905249,0.8259092,0.45548293,0.9258745,0.2164981,0.4960001,0.9937419,0.93603975,0.06288589,0.98519635,0.12415433,0.09098565,0.8385616,0.6835998,0.016503423,0.6288941,0.2018097,0.0042071096,1.0072035,0.8996939,0.07847011,1.1635274,0.30945337,0.039503947,0.99267244,0.954008,0.072495885,0.95998067,0.19521703,0.15062265,0.70416373,0.5848437,0.07971713,0.6662419,0.60263544,0.01429714,0
0.55146044,0.5454017,0.5857528,0.44069865,0.61108714,0.72119576,0.44813755,0.47530216,0.84011036,0.46435964,0.67447925,0.7631195,0.48999688,0.38267118,0.6955082,0.88614315,0.8223295,0.48870662,0.92186046,0.21982715,0.54197234,0.99356586,0.9422263,0.07128508,0.99317,0.1157261,0.09928197,0.8078127,0.6554844,0.008974693,0.55836934,0.16192976,0.0057672146,1.0093738,0.89910173,0.07238037,1.1630254,0.2965373,0.038108885,0.99334186,0.95662653,0.0739422,0.95911366,0.20946261,0.14911512,0.49636602,0.6621528,0.0152167855,0.5098453,0.60417426,0.026055546,0
0.5478713,0.54624766,0.5875847,0.44013226,0.60974556,0.67602277,0.4463847,0.4767129,0.85299164,0.46845487,0.67518765,0.75722504,0.4880816,0.3841056,0.70498854,0.883178,0.8251076,0.5205262,0.9260637,0.21789995,0.4853535,0.99095887,0.944072,0.07941637,0.9921977,0.1178151,0.10946027,0.8640987,0.71600765,0.020477176,0.47291628,0.39319554,0.020545183,1.0060887,0.8693884,0.07645758,1.1001375,0.30053523,0.02784341,0.99004364,0.95762753,0.08223998,0.96013206,0.20811507,0.1502778,0.7024029,0.58497983,0.06403593,0.6130766,0.6150329,0.011280871,0
