nose_x,nose_y,nose_score,left_eye_x,left_eye_y,left_eye_score,right_eye_x,right_eye_y,right_eye_score,left_ear_x,left_ear_y,left_ear_score,right_ear_x,right_ear_y,right_ear_score,left_shoulder_x,left_shoulder_y,left_shoulder_score,right_shoulder_x,right_shoulder_y,right_shoulder_score,left_elbow_x,left_elbow_y,left_elbow_score,right_elbow_x,right_elbow_y,right_elbow_score,left_wrist_x,left_wrist_y,left_wrist_score,right_wrist_x,right_wrist_y,right_wrist_score,left_hip_x,left_hip_y,left_hip_score,right_hip_x,right_hip_y,right_hip_score,left_knee_x,left_knee_y,left_knee_score,right_knee_x,right_knee_y,right_knee_score,left_ankle_x,left_ankle_y,left_ankle_score,right_ankle_x,right_ankle_y,right_ankle_score,class_no
0.5389555,0.5117821,0.5510001,0.4519582,0.56747293,0.55275655,0.46026912,0.44841704,0.75299156,0.49463275,0.6234659,0.7270651,0.51287293,0.36839578,0.6593051,0.8903883,0.80554116,0.62945056,0.92750853,0.21822688,0.49570456,0.99358267,0.9045338,0.09771682,0.9849408,0.14745939,0.09966706,0.8491857,0.7501494,0.039495233,0.47231185,0.36999857,0.03993466,1.0049497,0.8817157,0.09550999,1.0821468,0.29516554,0.01907609,0.8880937,0.817617,0.08964106,0.64711624,0.43716252,0.015514388,0.7939067,0.62136644,0.039945934,0.71878296,0.5762672,0.013407694,0
0.5414637,0.5111432,0.5805414,0.45863584,0.5671429,0.68675363,0.46284616,0.45061764,0.61691415,0.5048731,0.62170124,0.6533524,0.5115841,0.3696272,0.6335627,0.8935044,0.8029461,0.6132843,0.9264722,0.21874036,0.5214074,0.99424434,0.9082072,0.09732197,0.98535174,0.14758235,0.09223556,0.856366,0.75146884,0.033034686,0.4713829,0.37056515,0.03963863,1.0060644,0.882394,0.08944177,1.0784961,0.2813906,0.020634169,0.8896114,0.81665254,0.0894076,0.9589545,0.19499591,0.15941578,0.7901563,0.61916345,0.039406303,0.74881965,0.57783586,0.014565574,0
0.5446193,0.50942284,0.6425998,0.46253678,0.56525517,0.7561067,0.4675683,0.4478593,0.819947,0.5050704,0.6214868,0.6331595,0.5188233,0.37196764,0.5959847,0.89385754,0.80205953,0.61098903,0.93075734,0.22396912,0.4827409,0.9961415,0.9066351,0.09294068,0.99001956,0.14660308,0.11085076,0.8545759,0.75231946,0.04761457,0.4774642,0.37318143,0.03840793,1.006296,0.88277024,0.086392134,1.0830673,0.2951,0.019844634,0.8907172,0.8149368,0.11202306,0.6199246,0.44937006,0.016663484,0.7920639,0.6226439,0.04429092,0.72870106,0.6240028,0.007012725,0
0.5466464,0.5099966,0.6617561,0.46400473,0.56590384,0.78526235,0.4689447,0.44999817,0.78853196,0.5051584,0.62142533,0.6352613,0.5184781,0.37242943,0.57749534,0.8956421,0.8013506,0.57980376,0.9301545,0.22235367,0.5107835,0.99500537,0.9063202,0.10494909,0.9893436,0.14952748,0.09896478,0.8544214,0.7527822,0.048866015,0.4740353,0.37186506,0.04091373,1.0044781,0.88509107,0.08778861,1.0834044,0.29399043,0.017848488,0.89188427,0.8153741,0.10222817,0.6441521,0.4500838,0.016309483,0.7921941,0.620472,0.041231338,0.8741748,0.81436276,0.055424765,0
0.5454832,0.51024395,0.6489239,0.46222258,0.5658944,0.74458593,0.4692316,0.4499343,0.7880778,0.5054279,0.6222087,0.66733676,0.5193127,0.3733259,0.5622824,0.89060134,0.7987946,0.6006755,0.9249149,0.22619322,0.5118945,0.99635583,0.90764576,0.11914486,0.9873249,0.1457464,0.11615893,0.8521274,0.757868,0.045296706,0.4746033,0.37303656,0.034507755,1.004637,0.8835824,0.08944938,1.0762508,0.29606003,0.026989946,0.8856568,0.8135531,0.14779945,0.6197033,0.45045948,0.015083711,0.787637,0.6231391,0.038561225,0.86713535,0.8106403,0.072772115,0
0.5442622,0.51005363,0.62215185,0.4623772,0.5649179,0.75491464,0.46904528,0.448484,0.8184142,0.5030494,0.6222946,0.6459719,0.5187082,0.372384,0.5854123,0.89422077,0.7999746,0.56331396,0.9280303,0.22348727,0.4918897,0.9966101,0.90778226,0.104202285,0.98840714,0.14895558,0.12080164,0.8525536,0.7834383,0.08459365,0.47920668,0.37107545,0.03711465,1.0068103,0.88397866,0.084331155,1.0797787,0.29445785,0.022022218,0.8915768,0.8152601,0.110281564,0.61942124,0.44901058,0.016116071,0.7920804,0.6206988,0.04712101,0.8663365,0.8096938,0.06159021,0
0.54613465,0.508505,0.66948915,0.4627795,0.5652415,0.7614957,0.46858644,0.44827288,0.8232982,0.505869,0.62165207,0.6550172,0.52012104,0.37239745,0.5643558,0.89484715,0.79832906,0.52536154,0.92952555,0.22643937,0.48737654,0.995845,0.90707654,0.1222831,0.9891188,0.1464968,0.11260925,0.85023046,0.78749704,0.09639437,0.47470948,0.37168714,0.037868496,1.005102,0.8851122,0.08642406,1.0797905,0.2953766,0.021440132,0.8886499,0.8159259,0.14866179,0.9576302,0.20921917,0.14164189,0.7955134,0.62342185,0.04440352,0.8638784,0.8135086,0.08704251,0
0.5461371,0.50980556,0.6478994,0.46423647,0.5650765,0.764701,0.46968055,0.44946343,0.8021824,0.5046727,0.6215652,0.64764684,0.51758385,0.37368006,0.58031,0.8931071,0.79927814,0.5780461,0.9296603,0.22540095,0.48124236,0.9956882,0.9067599,0.103597134,0.98861694,0.14815575,0.12031481,0.852565,0.7559461,0.045571383,0.47733164,0.3728867,0.033194985,1.005694,0.88512063,0.08369693,1.0764716,0.29356992,0.026068758,0.88850015,0.8135073,0.115972035,0.6218659,0.4503267,0.018637676,0.7916818,0.62029076,0.039681237,0.6837155,0.5464114,0.02346412,0
0.54355675,0.50926524,0.6166585,0.4628159,0.56440777,0.7550612,0.46897516,0.44835535,0.8248468,0.50401044,0.6213785,0.62440956,0.52018076,0.37180853,0.52586186,0.8930364,0.8003966,0.561793,0.930357,0.2265943,0.44266272,0.89930815,0.82379895,0.058084987,0.9890531,0.14613105,0.13065678,0.8497451,0.7810215,0.08818132,0.47923765,0.37249178,0.037474196,1.0067128,0.86966527,0.082929045,1.0807041,0.3099897,0.02120146,0.89111453,0.81642234,0.11575522,0.61921424,0.45014364,0.019943187,0.79436785,0.62145615,0.043881062,0.8617022,0.8088559,0.05628427,0
0.5468684,0.50883716,0.6774113,0.46376467,0.5651765,0.7836162,0.46855482,0.44880375,0.8211012,0.50546604,0.62078524,0.6289791,0.5177441,0.3722099,0.55007726,0.89520144,0.80055314,0.55809426,0.9287242,0.22153856,0.49020967,0.9962244,0.90742797,0.10727563,0.9889581,0.14876501,0.10534657,0.8489253,0.73666775,0.033157848,0.4760736,0.37297875,0.03628943,1.0036062,0.8856051,0.08999241,1.0800929,0.29459238,0.020062398,0.89141434,0.8155356,0.101111725,0.64587,0.4510928,0.016985254,0.79357916,0.62222487,0.04652952,0.8211364,0.63223344,0.020085871,0
