nose_x,nose_y,nose_score,left_eye_x,left_eye_y,left_eye_score,right_eye_x,right_eye_y,right_eye_score,left_ear_x,left_ear_y,left_ear_score,right_ear_x,right_ear_y,right_ear_score,left_shoulder_x,left_shoulder_y,left_shoulder_score,right_shoulder_x,right_shoulder_y,right_shoulder_score,left_elbow_x,left_elbow_y,left_elbow_score,right_elbow_x,right_elbow_y,right_elbow_score,left_wrist_x,left_wrist_y,left_wrist_score,right_wrist_x,right_wrist_y,right_wrist_score,left_hip_x,left_hip_y,left_hip_score,right_hip_x,right_hip_y,right_hip_score,left_knee_x,left_knee_y,left_knee_score,right_knee_x,right_knee_y,right_knee_score,left_ankle_x,left_ankle_y,left_ankle_score,right_ankle_x,right_ankle_y,right_ankle_score,class_no
0.43877685,0.48674282,0.6058789,0.3945522,0.54215276,0.6244763,0.40943646,0.4312294,0.7919933,0.53381413,0.61403084,0.74424124,0.53784364,0.35880736,0.38082206,0.91067547,0.80955285,0.5421214,0.9092035,0.19085062,0.6816419,0.9056249,0.8106978,0.044979006,0.9977734,0.084321514,0.076396815,0.9695365,0.96723944,0.08316974,0.49586686,0.35969234,0.04205522,1.0050128,0.825566,0.08289321,1.1652217,0.2602722,0.049718075,0.945986,0.9843829,0.09694853,0.9535446,0.1833684,0.105655596,0.522324,0.56672555,0.051324908,0.6073406,0.4265391,0.027214408,0
0.4338555,0.4866714,0.69550455,0.39122382,0.5449632,0.5875419,0.41021073,0.4315046,0.79512036,0.53924155,0.61496997,0.69642574,0.54520106,0.35788575,0.45595673,0.9086332,0.80428475,0.59695095,0.91399693,0.19094832,0.64945424,0.9052634,0.8125383,0.044319235,0.99843293,0.08589381,0.07594112,0.89237803,0.816144,0.03554147,0.5675425,0.14982998,0.007485656,1.0054339,0.84050214,0.08035254,1.1668452,0.28538424,0.050770026,0.9622291,0.985993,0.095976144,0.9518849,0.18254487,0.16471705,0.5837373,0.5530395,0.0378151,0.7263153,0.3947212,0.024761925,0
0.38353133,0.4848944,0.635033,0.33916855,0.53863376,0.57710385,0.3642275,0.43099207,0.6876466,0.50436354,0.6149991,0.5116975,0.51102567,0.3619008,0.66178083,0.8941229,0.820359,0.5351312,0.9040062,0.18273558,0.5620293,0.8965743,0.8275344,0.066331126,0.9935488,0.08405154,0.09765328,0.88234967,0.83268446,0.07492411,0.47114125,0.3618082,0.075977236,0.99837476,0.84043455,0.1274777,1.0149617,0.18839505,0.058656618,0.962033,0.8798904,0.1301038,0.98521614,0.10339988,0.16004606,0.4643621,0.55628645,0.049425215,0.4871416,0.43994144,0.022844292,0
0.3827968,0.48138136,0.5864497,0.33568254,0.5347802,0.61904675,0.36266664,0.4297391,0.681868,0.5034936,0.6151355,0.47736973,0.51292706,0.361471,0.6516338,0.89426917,0.81608707,0.4985756,0.9052884,0.18217471,0.5632019,0.99336785,0.91338146,0.091487035,0.99322885,0.08443691,0.09975564,0.8775087,0.81248873,0.055178475,0.46926603,0.36249855,0.060792483,0.99955183,0.841167,0.11337587,1.0143058,0.19023025,0.05401536,0.9673533,0.88141614,0.097934484,0.984916,0.10370214,0.15582307,0.4672203,0.5781469,0.06731976,0.54319876,0.4550919,0.054031823,0
0.38338542,0.48327732,0.5797047,0.33753756,0.5357062,0.62699634,0.3628366,0.4292858,0.63977724,0.50230926,0.6136301,0.6349955,0.51223516,0.35979986,0.6350056,0.89224315,0.82176584,0.52581084,0.90323305,0.18164387,0.584901,0.89288014,0.82330924,0.05204761,0.52819085,0.05372145,0.013016923,0.8764979,0.8148726,0.051584568,0.38229224,0.055943698,0.0077764294,0.9979884,0.8407882,0.122510046,1.0133995,0.18835275,0.068666235,0.97852653,0.91348255,0.103416376,0.9844501,0.10256943,0.16331522,0.4780695,0.56005925,0.066135146,0.5001118,0.4276422,0.028048055,0
0.37942812,0.48084047,0.56598765,0.33305776,0.53409123,0.60450643,0.36002067,0.42847347,0.653946,0.5020211,0.6132048,0.6479646,0.5075466,0.3596918,0.4901143,0.8911464,0.8226874,0.48494154,0.90206814,0.18546437,0.61044043,0.9898732,0.91235685,0.08993791,0.994759,0.08457769,0.08670642,0.87456673,0.81624234,0.056550115,0.4689065,0.36383623,0.06089214,0.99728674,0.84138304,0.124929704,1.0176803,0.19121866,0.042756934,0.96689934,0.87981945,0.12895174,0.98825806,0.1010547,0.13034303,0.47346985,0.5437292,0.069576,0.5051294,0.44157222,0.026736354,0
0.38070676,0.4820033,0.5658848,0.33520666,0.5358057,0.66513616,0.36026457,0.42940873,0.67253065,0.50244063,0.61385566,0.651386,0.5055952,0.35951513,0.50646883,0.8971307,0.81950927,0.53932583,0.9005187,0.18307516,0.5756904,0.9925924,0.9135497,0.07809908,0.9962148,0.08422187,0.09902539,0.87275714,0.81499124,0.05141165,0.46203294,0.36167735,0.062762305,1.0021423,0.8411882,0.11036162,1.0167322,0.19114615,0.04562598,0.981546,0.9108055,0.09374639,0.9885052,0.101910904,0.13362403,0.47598895,0.5591542,0.06671222,0.50449985,0.4430104,0.023038678,0
0.38025677,0.48184454,0.5505339,0.3353823,0.5344924,0.6543519,0.35930744,0.42939648,0.60896266,0.50323963,0.6137252,0.65263075,0.5095141,0.35864955,0.6244309,0.8877985,0.81787646,0.54706705,0.90497774,0.17876114,0.59227705,0.9880802,0.91440964,0.098133005,0.9917026,0.08214731,0.10823615,0.8765786,0.81641996,0.05541731,0.25420418,0.05459147,0.020803032,0.9972088,0.8407943,0.11243454,1.0145763,0.18994753,0.05766466,0.9752455,0.9121305,0.10482394,0.98477966,0.1007199,0.15137647,0.4932947,0.55941254,0.07903622,0.5212317,0.42902458,0.030469587,0
0.37954518,0.48156562,0.5721213,0.33290282,0.53524274,0.6291292,0.3580053,0.4285728,0.6446752,0.49658427,0.6148213,0.47953954,0.50608736,0.35906783,0.49444568,0.88840765,0.8206052,0.5338863,0.9026258,0.18256088,0.5802155,0.9913831,0.9160787,0.08876181,0.54615045,0.067430034,0.01192844,0.8717649,0.8150117,0.053845238,0.46419838,0.3620913,0.049737614,0.99830025,0.84106,0.12671171,1.0170126,0.18895133,0.04934143,0.9802525,0.9150077,0.109777704,0.98452586,0.10064985,0.16866742,0.4767462,0.5761789,0.07062608,0.50175637,0.42631844,0.025944425,0
0.38295034,0.483356,0.6044758,0.33501792,0.5361983,0.6642384,0.3587483,0.4289563,0.66219497,0.4936413,0.61446726,0.5041733,0.50306344,0.35891074,0.53336495,0.8938286,0.81956905,0.5720309,0.9055051,0.17887478,0.5822808,0.87805605,0.8126831,0.050486367,0.99421525,0.08255541,0.124221,0.87138635,0.815138,0.06649986,0.2672161,0.05589179,0.019159695,1.0007825,0.83982706,0.12039233,1.0146757,0.19061409,0.05397714,0.9813619,0.91407037,0.11335178,0.9868192,0.09885797,0.15925029,0.49041018,0.5765474,0.069961846,0.5249439,0.45799005,0.033492066,0
