nose_x,nose_y,nose_score,left_eye_x,left_eye_y,left_eye_score,right_eye_x,right_eye_y,right_eye_score,left_ear_x,left_ear_y,left_ear_score,right_ear_x,right_ear_y,right_ear_score,left_shoulder_x,left_shoulder_y,left_shoulder_score,right_shoulder_x,right_shoulder_y,right_shoulder_score,left_elbow_x,left_elbow_y,left_elbow_score,right_elbow_x,right_elbow_y,right_elbow_score,left_wrist_x,left_wrist_y,left_wrist_score,right_wrist_x,right_wrist_y,right_wrist_score,left_hip_x,left_hip_y,left_hip_score,right_hip_x,right_hip_y,right_hip_score,left_knee_x,left_knee_y,left_knee_score,right_knee_x,right_knee_y,right_knee_score,left_ankle_x,left_ankle_y,left_ankle_score,right_ankle_x,right_ankle_y,right_ankle_score,class_no
0.46471605,0.53861445,0.7600775,0.4225651,0.6009507,0.78535193,0.37830865,0.49384847,0.77802026,0.526009,0.6389714,0.734154,0.44282195,0.39898378,0.6362264,0.8730094,0.7711774,0.64059335,0.9169968,0.18847956,0.44535393,0.83458763,0.7841332,0.049261674,0.99495673,0.09039958,0.08318046,0.8338444,0.78894216,0.067328066,0.41201684,0.40906283,0.024889825,1.0100566,0.8581512,0.06036113,1.0083075,0.18944022,0.087329425,0.8594648,0.79237384,0.06473952,0.97589797,0.17594649,0.14654757,0.62893987,0.55296713,0.060707867,0.49111965,0.59532285,0.09899233,0
0.46544707,0.53824836,0.7544267,0.42406297,0.601335,0.8003678,0.37845835,0.49417287,0.76957375,0.5315623,0.6389272,0.73287994,0.4373316,0.39921623,0.6694599,0.8730785,0.7748506,0.6311381,0.91840154,0.18928136,0.5058899,0.84282446,0.79090923,0.03715435,0.9954796,0.09009265,0.07717549,0.83669305,0.79064476,0.04947218,0.9917493,0.065659225,0.040913917,1.0048935,0.8478286,0.06418766,1.0071261,0.18059376,0.07530008,0.86083597,0.7935199,0.057610624,0.9727749,0.17863287,0.17566523,0.8323593,0.6540642,0.025667822,0.83597875,0.5838794,0.01583754,0
0.46055785,0.54341066,0.6434983,0.42520115,0.60794544,0.77563405,0.37698197,0.50084823,0.7368715,0.532655,0.64443725,0.6952419,0.44063127,0.40454203,0.61847967,0.8728593,0.78178346,0.5807978,0.9109843,0.19822335,0.45913342,0.83962274,0.79387593,0.06422867,0.53741103,0.099856704,0.006739021,0.829122,0.79509234,0.08059545,0.9708221,0.9490325,0.08533443,0.9994256,0.8537004,0.08397366,0.9969845,0.19000292,0.062483553,0.86210424,0.80029994,0.061419237,0.973432,0.19387111,0.15639403,0.8416972,0.71137893,0.019184776,0.8906758,0.55442166,0.015550553,0
0.46083263,0.54272795,0.6755153,0.42391148,0.60685223,0.8326657,0.3775485,0.49908164,0.72810584,0.5321887,0.64393353,0.7172037,0.44323793,0.40471852,0.5978362,0.88187855,0.7871757,0.6176636,0.9181872,0.20031114,0.477145,0.83641654,0.79048294,0.034990918,0.9946099,0.10303605,0.075246744,0.8360031,0.7925965,0.058969557,0.41668677,0.4200419,0.02740556,1.0055745,0.8653352,0.07700109,1.0090741,0.19138384,0.07800143,0.8710301,0.80215704,0.04383853,0.97545296,0.19187513,0.15397856,0.8301819,0.6582016,0.02692885,0.83586246,0.58608085,0.014082033,0
0.45954108,0.5432612,0.6428968,0.4240857,0.6067139,0.79335684,0.3774043,0.500974,0.7309167,0.5371452,0.64128274,0.67000186,0.4433074,0.4062436,0.61891794,0.87792665,0.7837852,0.6078838,0.9079218,0.20342796,0.5198985,0.84378093,0.79685146,0.048937548,0.57027525,0.09995924,0.010010338,0.83100134,0.7915167,0.07372816,0.9924647,0.079800226,0.040903658,1.0028536,0.8640417,0.080676846,1.0083865,0.19311279,0.07864485,0.8576382,0.7952905,0.064048395,0.9725675,0.19465233,0.17978211,0.8298347,0.67457247,0.022523517,0.8946951,0.55638736,0.01784827,0
0.45796886,0.5428616,0.6198498,0.42259917,0.6061979,0.8104017,0.37784755,0.4997528,0.7323807,0.5320053,0.6427023,0.6919394,0.44456458,0.4077628,0.6236931,0.88100404,0.7853158,0.569778,0.9112642,0.1959704,0.45179835,0.84004945,0.7860843,0.05273088,0.995614,0.10126683,0.07007829,0.83587974,0.793813,0.07820422,0.9914368,0.080389775,0.037332002,1.0028915,0.866873,0.08665695,1.0075152,0.19013537,0.09624603,0.8628826,0.7951805,0.061190397,0.97488785,0.19254369,0.15897398,0.83035594,0.6598944,0.028960783,0.83306855,0.5869512,0.014379761,0
0.4592438,0.5435289,0.6253775,0.42283252,0.60628414,0.82841384,0.3771945,0.50019944,0.732806,0.531331,0.6433276,0.7177352,0.44244155,0.40593636,0.6426303,0.88750714,0.78136694,0.5654946,0.910151,0.19547692,0.45620847,0.84440166,0.78663605,0.042901002,0.99659175,0.096143864,0.07175893,0.8383217,0.7929008,0.06723885,0.41557157,0.42070445,0.027050802,1.0043967,0.8661633,0.08002478,1.0105973,0.19192615,0.064252995,0.8676807,0.7955252,0.051280025,0.97446346,0.18073167,0.15367122,0.830904,0.6570242,0.029044583,0.8570612,0.58527255,0.016362093,0
0.4639735,0.5437485,0.6406504,0.424988,0.60794204,0.76671505,0.37809697,0.50195795,0.75919986,0.53664875,0.6427179,0.673618,0.44101954,0.40676314,0.6724686,0.8830611,0.7825073,0.59145874,0.90843916,0.19726633,0.5107371,0.8500586,0.7945041,0.047849268,0.5703018,0.10018106,0.009645935,0.83534425,0.7939854,0.1028771,0.99190426,0.077573806,0.042892,1.0056074,0.86177707,0.07198467,1.0203174,0.19164117,0.09579016,0.86216545,0.79401064,0.06279671,0.96435314,0.18097156,0.18678278,0.8518293,0.6768955,0.025764612,0.8950847,0.5564159,0.017463787,0
0.45878026,0.5434836,0.6321493,0.42485628,0.60621375,0.79055774,0.37978598,0.50176567,0.7826476,0.5363459,0.6413066,0.675091,0.4450393,0.40762082,0.6240174,0.87921566,0.7772826,0.6084592,0.90711135,0.19649595,0.5112948,0.85271454,0.79086524,0.033889562,0.58443904,0.09051986,0.010987974,0.835969,0.7912253,0.070586905,0.9909232,0.0780518,0.03678664,1.0062181,0.86244994,0.06764227,1.0075179,0.18968198,0.09598925,0.86744803,0.79237694,0.0626721,0.9653403,0.17909779,0.18198429,0.8511684,0.6763103,0.022437088,0.89180875,0.55354774,0.018275363,0
0.46360004,0.54385537,0.62282896,0.42631546,0.60743517,0.7713722,0.37983036,0.5023224,0.7855667,0.5377169,0.6419568,0.6512297,0.44224617,0.4071109,0.68517584,0.8853361,0.77597666,0.5650578,0.9112559,0.19420499,0.4690271,0.8484134,0.7842298,0.03739777,0.5662952,0.10623328,0.009208313,0.84202045,0.7910052,0.053081177,0.4168999,0.4232765,0.02758342,1.0067459,0.86577076,0.073377304,1.010101,0.19115013,0.06836731,0.8717486,0.79234195,0.051818527,0.9742319,0.17927487,0.16013734,0.85131216,0.67164433,0.024334429,0.910189,0.5529821,0.015523917,0
