nose_x,nose_y,nose_score,left_eye_x,left_eye_y,left_eye_score,right_eye_x,right_eye_y,right_eye_score,left_ear_x,left_ear_y,left_ear_score,right_ear_x,right_ear_y,right_ear_score,left_shoulder_x,left_shoulder_y,left_shoulder_score,right_shoulder_x,right_shoulder_y,right_shoulder_score,left_elbow_x,left_elbow_y,left_elbow_score,right_elbow_x,right_elbow_y,right_elbow_score,left_wrist_x,left_wrist_y,left_wrist_score,right_wrist_x,right_wrist_y,right_wrist_score,left_hip_x,left_hip_y,left_hip_score,right_hip_x,right_hip_y,right_hip_score,left_knee_x,left_knee_y,left_knee_score,right_knee_x,right_knee_y,right_knee_score,left_ankle_x,left_ankle_y,left_ankle_score,right_ankle_x,right_ankle_y,right_ankle_score,class_no
0.40901014,0.48409504,0.74212235,0.3564389,0.54863465,0.7523464,0.35470864,0.43507546,0.621505,0.47944817,0.6104395,0.68399817,0.44742158,0.35698694,0.50360394,0.787133,0.76053613,0.7424059,0.88129044,0.18991764,0.6352659,0.85756135,0.8162849,0.027496893,0.52697253,0.06615966,0.011958591,0.77529746,0.77192795,0.02743556,0.99497765,0.066944845,0.065195605,1.0043082,0.8273591,0.055127166,1.0192515,0.19936347,0.04511074,0.79990786,0.77974826,0.048464697,0.9576567,0.18043792,0.14211838,0.57636404,0.54139364,0.03699272,0.66672796,0.4596469,0.023081688,0
0.40441594,0.48796028,0.811073,0.35490048,0.55155027,0.7816913,0.34838223,0.43726403,0.77113366,0.4722183,0.6124112,0.78485554,0.44622,0.3586646,0.56139696,0.7848353,0.7612764,0.7875973,0.8785629,0.19122614,0.6879974,0.85299975,0.8166732,0.028696112,0.55852556,0.07107546,0.019345352,0.7761782,0.7724833,0.019177452,0.49554467,0.12717454,0.005127605,1.2019911,0.76315224,0.052390434,1.0269223,0.20079383,0.022847805,0.80075055,0.78082335,0.04502646,0.95826,0.18388182,0.1145866,0.5763709,0.5436783,0.03447124,0.66633207,0.48763067,0.020769874,0
0.4231433,0.50139874,0.76748365,0.3795998,0.5653342,0.6461081,0.3669447,0.45401698,0.6768047,0.49705306,0.61770344,0.73167765,0.4560463,0.37175548,0.5738976,0.8013699,0.7561513,0.82881844,0.8846784,0.1966515,0.63945293,0.98221666,0.8681553,0.053023227,0.9996193,0.090699404,0.08317022,0.9932391,0.9005745,0.067615435,0.41465938,0.059353877,0.006072294,1.2000632,0.76415443,0.04195396,1.0194156,0.2024418,0.0490711,0.8111708,0.770755,0.03157555,0.9554991,0.18417135,0.15184183,0.5351257,0.56010336,0.048321113,0.64109445,0.5075367,0.019498408,0
0.42452487,0.5007641,0.7923129,0.37692735,0.5644338,0.6517009,0.36795223,0.45443377,0.71278,0.49219748,0.61927086,0.5663382,0.4546655,0.37158298,0.5593357,0.7997641,0.7558154,0.84113204,0.8820746,0.19466454,0.6905568,0.8928161,0.82930064,0.04600314,0.99690276,0.097826816,0.099612154,0.776434,0.7592336,0.013614501,0.99327725,0.08116377,0.05886609,1.2020434,0.77941716,0.044961568,1.0167724,0.19405136,0.045995075,0.8060557,0.7747655,0.036301605,0.9578865,0.18330313,0.13672139,0.53226155,0.5598126,0.05500152,0.6658056,0.5066549,0.022801628,0
0.42288288,0.5014941,0.7726235,0.378015,0.5664376,0.6911262,0.36561346,0.45501706,0.6877365,0.4941293,0.61909777,0.73437625,0.45032552,0.3734673,0.46222448,0.8019371,0.75488603,0.8161894,0.88661814,0.19711499,0.638362,0.78504926,0.7668686,0.028950512,0.9975281,0.09954451,0.08731276,0.77578425,0.7594175,0.016789945,0.38222408,0.088025324,0.0053408006,1.2009001,0.77991724,0.041801527,1.0194312,0.20377974,0.048890784,0.8053233,0.7738737,0.039783154,0.9594147,0.1839068,0.14533885,0.53343433,0.5577956,0.055427793,0.66681117,0.5069902,0.019479962,0
0.42196047,0.5035657,0.80471295,0.3788344,0.5673093,0.71665245,0.3671415,0.4556055,0.71278113,0.49751285,0.6197721,0.71373004,0.4578164,0.3747003,0.5974957,0.80112547,0.75685024,0.82011366,0.88239115,0.2003867,0.6580694,0.78674513,0.76787156,0.03419907,0.99670774,0.09730199,0.100377426,0.7799771,0.76664305,0.013950443,0.2897234,0.046661608,0.0143506825,1.0029637,0.8255999,0.050536986,1.0205058,0.20362699,0.04376183,0.8083822,0.7755153,0.040529113,0.95705175,0.18780297,0.14990461,0.53505445,0.5581889,0.05364191,0.6332646,0.48945802,0.021838227,0
0.42548934,0.5033293,0.81819963,0.38064554,0.5668928,0.7311834,0.37104893,0.45684382,0.7649017,0.49113786,0.62203574,0.7638363,0.45634082,0.37508884,0.63034564,0.79948115,0.75767165,0.83088875,0.88087815,0.19641325,0.666324,0.8921787,0.8298646,0.037815683,0.99656534,0.09893184,0.093899995,0.77711505,0.7604979,0.011700048,0.99440163,0.08193876,0.04973981,1.2013043,0.764205,0.04764319,1.0190612,0.20279148,0.051942334,0.81080985,0.7784589,0.03947866,0.9592838,0.1832416,0.13187723,0.5318699,0.5617965,0.052115835,0.6699098,0.5202841,0.02038486,0
0.42539975,0.504245,0.8149314,0.381458,0.56763047,0.7136046,0.3693217,0.45928955,0.8037276,0.4956789,0.6199896,0.7223127,0.45441815,0.37686655,0.68339056,0.80082256,0.7560565,0.81655014,0.89451545,0.1965604,0.65064996,0.78482395,0.7692027,0.03182559,0.99638677,0.0998996,0.11337764,0.7874994,0.77000207,0.02590251,0.9936884,0.08218172,0.06410984,1.2013726,0.7801633,0.04402904,1.0181316,0.20249185,0.055364292,0.80709785,0.77686644,0.03886919,0.95931655,0.1851498,0.17803441,0.53332645,0.55903673,0.05214121,0.6676314,0.5066839,0.024841076,0
0.42777553,0.50487703,0.8181485,0.3873044,0.56853735,0.705224,0.37116662,0.45815745,0.8152356,0.50051075,0.61972916,0.69761634,0.45866022,0.377136,0.6809497,0.7997017,0.7568386,0.8178769,0.8845163,0.20005096,0.6371291,0.78691787,0.7677276,0.029432734,0.9969073,0.098434806,0.099589534,0.7794421,0.76051885,0.0147741465,0.4266725,0.08252128,0.0051631145,1.0036037,0.8273236,0.050917912,1.0213327,0.20384675,0.044664092,0.8071794,0.77538574,0.039036572,0.95685035,0.18697111,0.17046669,0.5339964,0.55731857,0.05133401,0.66540664,0.4903687,0.02078704,0
0.4274532,0.50424147,0.81168044,0.38566092,0.5685954,0.73818153,0.3710016,0.45885706,0.8240525,0.50023526,0.62047476,0.6946457,0.45837137,0.37729067,0.68288136,0.7941747,0.7554574,0.80596644,0.8759818,0.19654433,0.7256704,0.8952721,0.83349913,0.0910359,0.99696565,0.09727129,0.09219919,0.906492,0.83593065,0.07494493,0.99311525,0.0812773,0.047168743,1.2046967,0.7787021,0.047772996,1.0231984,0.20385517,0.035337634,0.891723,0.8305494,0.05486235,0.9598308,0.1850225,0.110540636,0.53056884,0.55929434,0.04824416,0.66842574,0.50554675,0.021401495,0
0.42248046,0.505688,0.8211492,0.3836781,0.56987876,0.767444,0.36856663,0.460431,0.8520182,0.5043357,0.62193364,0.6451353,0.45328757,0.38189942,0.501043,0.79904485,0.7556827,0.83252245,0.885299,0.19783567,0.6225919,0.78398305,0.7677028,0.031022338,0.9954958,0.10044582,0.10228129,0.7760672,0.7596162,0.016384901,0.2581236,0.05615414,0.018369347,1.0078555,0.83963925,0.04746062,1.0178021,0.2031418,0.05808104,0.80533457,0.7741265,0.040577814,0.9613049,0.17181693,0.15995228,0.5322078,0.5575182,0.050325975,0.6645796,0.48664463,0.024187185,0
0.42658246,0.5072957,0.8249803,0.39073744,0.56809336,0.6690098,0.3708147,0.46303684,0.8082466,0.49881995,0.62245214,0.71067506,0.44920278,0.3819664,0.5768969,0.79745203,0.75653464,0.8421912,0.885398,0.1972984,0.6477578,0.8982425,0.8321421,0.048820194,0.9968455,0.0992264,0.0888336,0.77852863,0.76285875,0.016868938,0.42942092,0.09880154,0.0050839307,1.2032431,0.76234794,0.047964744,1.0207919,0.20395558,0.04691696,0.8055175,0.7752114,0.03732305,0.9583058,0.184643,0.15737596,0.5359764,0.55686104,0.04501386,0.6879639,0.48968437,0.02060659,0
0.42828453,0.5056796,0.8111434,0.39065006,0.5678775,0.673899,0.36987528,0.46349454,0.79713523,0.49984154,0.62346387,0.6879974,0.4492818,0.38207063,0.5659162,0.80098414,0.7563929,0.82580477,0.88212544,0.1999989,0.6434339,0.8935294,0.83011335,0.03861118,0.9974618,0.0983777,0.09290322,0.77853066,0.76031584,0.013732881,0.9957607,0.0819637,0.043965045,1.2016462,0.77836215,0.04878304,1.0212272,0.2037461,0.041905444,0.8078498,0.77637136,0.036732137,0.96044415,0.18528877,0.12584332,0.53567654,0.5576272,0.047950983,0.6946521,0.52281934,0.021181162,0
0.42716742,0.5074137,0.81773853,0.39190844,0.568453,0.70441794,0.37271497,0.46519017,0.6368773,0.50247556,0.62303656,0.6572864,0.44805324,0.38670924,0.47921282,0.80023104,0.7565718,0.8217538,0.8873768,0.19905186,0.6291423,0.7863011,0.7700039,0.03642758,0.99766344,0.10155227,0.090158254,0.78725845,0.77113146,0.027535398,0.9961054,0.08128013,0.05247784,1.2046024,0.78029436,0.04301061,1.018067,0.20313853,0.053983983,0.80718213,0.77857804,0.036168408,0.9589381,0.18614335,0.1604494,0.71198434,0.62042284,0.01290048,0.7132544,0.50612414,0.022346074,0
0.42455244,0.50959414,0.8091913,0.39039505,0.5697326,0.66803926,0.3698064,0.46598676,0.75527537,0.50541216,0.6242944,0.5961455,0.4500641,0.38449374,0.5353831,0.7998331,0.75589854,0.8361359,0.8817521,0.19816461,0.6750982,0.78818136,0.7679297,0.041512106,0.99661183,0.09994519,0.10130658,0.7830978,0.76255745,0.017357534,0.9938366,0.083340935,0.0572279,1.2018255,0.76330113,0.043620147,1.0182201,0.2052515,0.050552607,0.80854136,0.77776426,0.04246845,0.9599243,0.18420343,0.1521585,0.5347941,0.55763066,0.04432776,0.69051725,0.4887079,0.025183216,0
