nose_x,nose_y,nose_score,left_eye_x,left_eye_y,left_eye_score,right_eye_x,right_eye_y,right_eye_score,left_ear_x,left_ear_y,left_ear_score,right_ear_x,right_ear_y,right_ear_score,left_shoulder_x,left_shoulder_y,left_shoulder_score,right_shoulder_x,right_shoulder_y,right_shoulder_score,left_elbow_x,left_elbow_y,left_elbow_score,right_elbow_x,right_elbow_y,right_elbow_score,left_wrist_x,left_wrist_y,left_wrist_score,right_wrist_x,right_wrist_y,right_wrist_score,left_hip_x,left_hip_y,left_hip_score,right_hip_x,right_hip_y,right_hip_score,left_knee_x,left_knee_y,left_knee_score,right_knee_x,right_knee_y,right_knee_score,left_ankle_x,left_ankle_y,left_ankle_score,right_ankle_x,right_ankle_y,right_ankle_score,class_no
0.45099506,0.48078284,0.7117499,0.3859625,0.54405916,0.78539366,0.38456926,0.4261246,0.8605519,0.4643284,0.61537737,0.66750485,0.45846617,0.3525275,0.67810065,0.8065777,0.7690174,0.79925257,0.8803269,0.20195514,0.64581156,0.9352929,0.8538701,0.04627235,0.5142955,0.053823348,0.007985644,0.9644123,0.8852558,0.05190525,0.48475817,0.089295894,0.0042284825,1.2026967,0.77803177,0.044847682,1.0260159,0.20152196,0.019690078,0.8223145,0.7847892,0.03917837,0.9482669,0.19041416,0.10801177,0.5848315,0.55207545,0.0269165,0.44607,0.54855984,0.09660222,0
0.4506127,0.47920832,0.76942074,0.38593125,0.5421663,0.83819693,0.38468838,0.4253257,0.8646673,0.4660511,0.61367744,0.81504977,0.4601883,0.3516234,0.6521093,0.80750114,0.77180195,0.8047352,0.8806439,0.20231897,0.66828156,0.9389611,0.85408014,0.04882948,0.99082667,0.08591839,0.068286024,0.98020643,0.9259608,0.07006332,0.52872795,0.14851922,0.0073396713,1.0023192,0.84967196,0.05856758,1.0606745,0.22637309,0.02002084,0.9645045,0.9819503,0.10486916,0.93096685,0.19020021,0.1243752,0.6654369,0.5523272,0.02115272,0.66982013,0.5094996,0.017860511,0
0.44616982,0.49254084,0.7938787,0.38252234,0.5562464,0.8542967,0.38040176,0.43629783,0.7156182,0.46524152,0.62040704,0.7855103,0.46180105,0.35759944,0.5625991,0.8046241,0.7781897,0.772146,0.88081527,0.20385154,0.6705233,0.85415006,0.8134041,0.023566518,0.50020623,0.03397367,0.016899513,0.9854944,0.92201155,0.06683402,0.46254814,0.11046323,0.0062449663,1.0024405,0.8437284,0.06389904,1.0221105,0.20209935,0.02752367,0.82658476,0.7936686,0.046173103,0.94958526,0.18978103,0.120018534,0.56711656,0.5799064,0.021976646,0.46161103,0.5562184,0.09907098,0
0.45050362,0.4913204,0.79002756,0.38424554,0.55511147,0.84707505,0.3834426,0.43601328,0.7606885,0.46502194,0.6200431,0.79204184,0.46270847,0.35840487,0.5585881,0.8083132,0.77834797,0.7208635,0.8824881,0.20104852,0.61717284,0.8776912,0.8276471,0.020817073,0.5296466,0.050327946,0.011984,0.9821926,0.9418217,0.07894618,0.4977776,0.11563982,0.008090683,0.9997875,0.8316144,0.06523192,1.0222267,0.2004646,0.031652007,0.9681821,0.9778791,0.090162516,0.9287057,0.18692042,0.14599152,0.5594582,0.5522456,0.034482762,0.46265957,0.5563214,0.09126445,0
0.4500374,0.4908881,0.7851285,0.3852116,0.5544726,0.8419002,0.38330838,0.43616363,0.755465,0.46572006,0.6185904,0.65049744,0.45800146,0.3576336,0.5790443,0.80585074,0.7802853,0.7316481,0.88382196,0.20516291,0.67890877,0.85683423,0.81606025,0.019716622,0.51639676,0.053607218,0.009953326,0.9859826,0.9252866,0.060785435,0.49066785,0.113944314,0.0044004368,1.0020535,0.8443561,0.06413935,1.0227917,0.19989902,0.028804109,0.8296299,0.7961945,0.03748835,0.9447336,0.20058662,0.1298992,0.5599961,0.5520984,0.032966867,0.4621382,0.5563638,0.097043656,0
0.44772145,0.49113914,0.8026482,0.3841164,0.5544534,0.8475308,0.38175502,0.43519977,0.76714027,0.46574593,0.62055105,0.7872596,0.4636816,0.35931966,0.63598865,0.80299115,0.7818145,0.749537,0.8839374,0.20527153,0.6883045,0.8730726,0.82890576,0.020650174,0.5130873,0.03475674,0.017571317,0.9866881,0.925116,0.064092726,0.46405348,0.093456805,0.005756724,1.1583844,0.7830781,0.049657315,1.0201505,0.19096911,0.030746574,0.9840606,0.97840416,0.05982508,0.93104535,0.1920082,0.13481776,0.5657534,0.56384546,0.027104996,0.44488946,0.5530993,0.110123105,0
0.45053813,0.4909472,0.78338486,0.38470995,0.5547636,0.84606963,0.38374472,0.43571043,0.7779827,0.46466157,0.6203072,0.7862983,0.4622668,0.35811916,0.5680213,0.8039401,0.7787896,0.74010766,0.88261753,0.20468709,0.6819094,0.8813564,0.8297162,0.018787086,0.50221354,0.034916542,0.01697766,0.98510504,0.9536243,0.08267089,0.4740356,0.09450238,0.006399299,1.0003049,0.8467184,0.06491165,1.0261091,0.2002364,0.025493981,0.9826916,0.980358,0.088902295,0.94694096,0.19282472,0.14642946,0.5669709,0.5794553,0.01768877,0.46272504,0.556753,0.090437494,0
0.45082077,0.48966733,0.7737174,0.3846784,0.5533774,0.83281446,0.38434878,0.43400723,0.80444217,0.4650133,0.62029654,0.676541,0.4626473,0.36025947,0.6389292,0.801287,0.7821915,0.72416437,0.8855218,0.20796347,0.6447045,0.87383246,0.82922333,0.021836357,0.54354405,0.081869856,0.011298605,0.98647386,0.9506817,0.06960705,0.41767463,0.3594657,0.033124633,1.1571971,0.78338593,0.04956032,1.0229384,0.20139866,0.030952109,0.9825124,0.97909147,0.07137402,0.9470866,0.20251694,0.15488084,0.5663375,0.58073884,0.019133994,0.44519326,0.5510204,0.110471286,0
0.44999158,0.48833594,0.76408255,0.3837014,0.5525093,0.81861305,0.38368544,0.43197638,0.8348367,0.46334386,0.62218964,0.66708356,0.4639835,0.35987562,0.6652216,0.80156565,0.7831565,0.7936369,0.8900848,0.20662244,0.6248319,0.87133485,0.82940704,0.016145296,0.47729182,0.05581012,0.014494762,0.9884656,0.9356005,0.06916301,0.45877972,0.10918362,0.006995083,1.2013241,0.7924375,0.05004292,1.0241102,0.20291638,0.026537798,0.8248523,0.7958696,0.034827992,0.94873214,0.19279104,0.13286157,0.5663503,0.5642985,0.024435217,0.46245196,0.5554459,0.08551677,0
0.45380998,0.49069217,0.5703331,0.38402176,0.55220354,0.80764693,0.38533592,0.43353885,0.81768245,0.46487877,0.62240225,0.78650314,0.46734205,0.35994294,0.6821551,0.80435675,0.7844416,0.8042213,0.88768154,0.20787072,0.65482795,0.9207241,0.85319525,0.027442323,0.9951865,0.093639866,0.05258484,0.9856544,0.9609353,0.075498246,0.5401769,0.14062639,0.009603055,1.0008934,0.8616035,0.065648146,1.0785813,0.22950216,0.03228986,0.9824193,0.9813033,0.06867857,0.9326052,0.19579062,0.15943903,0.6104056,0.55803967,0.028391762,0.62717193,0.5185622,0.025821045,0
